serial_no,loglevel,status,inscript,dhatu.pada,dhatu.gaRa,lakshana,dhatu_mod,krt_pratyaya,mod_krt_pratyaya,pratyaya,exp_result,outscript,sutras
195,0,,DEVANAGARI,नृतीँ,दिवादि,नृतीँ गात्रविक्षे॒पे,नृत् ,शतृँ,अत्,शतृँ,नृत्यत्,SLP1,
196,0,,DEVANAGARI,चि॒ञ्,स्वादि,चि॒ञ् चय॑ने,चि ,शतृँ,अत्,शतृँ,चिन्वत्,SLP1,
197,0,,DEVANAGARI,तृपँ,तुदादि,तृपँ तृप्तौ॑,तृप् ,शतृँ,अत्,शतृँ,तृपत्,SLP1,
198,0,,DEVANAGARI,भि॒दिँ॑र्,रुधादि,भि॒दिँ॑र् वि॒दार॑णे,भिद् ,शतृँ,अत्,शतृँ,भिन्दत्,SLP1,
199,0,,DEVANAGARI,तृणुँ॑ ,तनादि,तृणुँ॑ अद॑ने,तृण् ,शतृँ,अत्,शतृँ,तृण्वत्,SLP1,
200,0,,DEVANAGARI,डुक्री॒ञ् ,क्र्यादि,डुक्री॒ञ् द्रव्यविनिम॒ये,क्री ,शतृँ,अत्,शतृँ,क्रीणत्,SLP1,
201,0,,DEVANAGARI,भक्षँ ,चुरादि,भक्षँ अद॑ने,भक्ष् ,शतृँ,अत्,शतृँ,भक्षयत्,SLP1,
202,0,,DEVANAGARI,एधँ॒,भ्वादि,एधँ॒ वृद्धौ॑,एध् ,शानच्,आन,शानच्,एधमान,SLP1,
203,0,,DEVANAGARI,दुहँ,अदादि,दुहँ प्रपूरणे,दुह्,शानच्,आन,शानच्,दुहान,SLP1,
204,0,,DEVANAGARI,डुदा॒ञ्,जुहोत्यादि,डुदा॒ञ् दा॒ने,दा ,शानच्,आन,शानच्,ददान,SLP1,
205,0,,DEVANAGARI,बु॒धँ॒ ,दिवादि,बु॒धँ॒ अव॒गम॑ने,बुध् ,शानच्,आन,शानच्,बुध्यमान,SLP1,
206,0,,DEVANAGARI,धु॒ञ् ,स्वादि,धु॒ञ् कम्प॑ने,धु ,शानच्,आन,शानच्,धुन्वान,SLP1,
207,0,,DEVANAGARI,क्षि॒पँ॑,तुदादि,क्षि॒पँ॑ प्रेर॑णे,क्षिप् ,शानच्,आन,शानच्,क्षिपमाण,SLP1,
208,0,,DEVANAGARI,वि॒दँ॒,रुधादि,वि॒दँ॒ वि॒चार॑णे,विद् ,शानच्,आन,शानच्,विन्दान,SLP1,
209,0,,DEVANAGARI,तनुँ॑,तनादि,तनुँ॑ विस्ता॒रे,तन् ,शानच्,आन,शानच्,तन्वान,SLP1,
210,0,,DEVANAGARI,डुक्री॒ञ्,क्र्यादि,डुक्री॒ञ् द्रव्यविनिम॒ये,क्री ,शानच्,आन,शानच्,क्रीणाण,SLP1,
211,0,,DEVANAGARI,अर्चँ,चुरादि,अर्चँ पू॒जाया॑म्,अर्च् ,शानच्,आन,शानच्,अर्चयमान,SLP1,
212,0,,DEVANAGARI,पा,भ्वादि,पा पाने,पा,सन्,अ,सन्,पिपास,SLP1,
